,Tweets
867,RT @ResistUA: #russia is preparing to hold referendums in the temporarily occupied territories of #Ukraine. This is a gross violation of in…
560,RT @PMOIRAN: 🔻به گزارش اسکای نیوز روز شنبه ۱۵مرداد وزارت‌خارجه #اوکراین هشدار داد که عواقب احتمالی حمله به یک رآکتور در حال کار معادل استفا…
117,RT @OlgaK2013: #Ukraine's daily horrors: A body of a person killed during the Russian occupation found in a technical well in #Berezivka ne…
27,RT @GlasnostGone: Russia has many useful idiots. Many crawl out of the woodwork and happily sell their black souls to Putin. And then there…
792,#UKRAINE #Україна 🇺🇦 #KYIV The logic of my life's work #UnitedStatesOfEurope based on #RealEuropeans and #Algebra c… https://t.co/lyEJz3vKxO
705,RT @Milan8662: Couldn't capture Ukraine!#Ukraine #UkraineRussiaWar https://t.co/jU2xHaVxhX
253,"RT @MFA_Ukraine: 1️⃣6️⃣5️⃣ days of full-scale #Russia’s war on #Ukraine.

Information on #Russian invasion.
Losses of the Russian armed for…"
329,RT @BHL: Accusing #Ukraine of operating in civil zones? It’s like accusing the French resistance of fighting in the streets of Paris in Aug…
235,#Gaza is brutally under attack by #Israel. @unitednations please wake up and help #palestine. Why #ukraine lives ma… https://t.co/mgXrxDDEyf
611,"RT @sarcasm475: This is not #ukraine
These are #Palestinian
#GazaUnderAttack https://t.co/o0bFnqMdcs"
816,RT @Elias_Haddad48: #Ukraine  #غزة_تحت_القصف
198,"RT @PatriotsDZ: Nous vivons dans un monde de salops ! Le monde ""libre"" s'est insurgé contre la guerre en #Ukraine, mais lorsqu'il s'agit de…"
346,"@marcgarlasco @DarthPutinKGB @amnesty THE ELEPHANTS IN THE ROOM:

1/ Russia shelling civilian areas indiscriminatel… https://t.co/7BjeHRAVBO"
268,"RT @HackingButLegal: This, out of #Ukraine, is 100% one of the most incredible videos I have ever seen.

This Russian POW has the heart of…"
52,"RT @dorfman_p: Situation 'Grave' say International Atomic Energy Agency, who have never ever considered the key risk of military attack on…"
722,@Tagesspiegel #juliaFriedrich hat Probleme…?! Interessiert das die Weltbevölkerung? #Ukraine #Veteranin
475,"RT @Matt_VanDyke: Courageous Ukrainian soldiers being trained by Sons of Liberty International (SOLI) to fight Russian invaders.

A few wee…"
548,https://t.co/kpG2N77t83  #russia  #ukraine  #events  #ریتوییت پردازنده برنامه نویسی
164,RT @HannaLiubakova: Expecting #Ukraine to capitulate and @ZelenskyyUa to give land to Putin feels so wrong. Ukraine didn’t start the war -…
135,RT @LCI: #Ukraine : le réacteur d'une centrale nucléaire à l'arrêt après des frappes https://t.co/KbLA3PfzNU https://t.co/akgAJBlfie
234,"RT @Renaultgek: Very rare clip from 1990 about all what's happening right now .
Must see !! 👇🏻👇🏻🤔
#NWO #GreatReset #Agenda2030 
#WEF 
@Simo…"
865,"RT @TV9Bharatvarsh: 'मिशन गुजरात ' पर दिल्ली के सीएम केजरीवाल
#WorldNews | #NitishKumar | #Bihar | #ArvindKejriwal |   #CWG2022 | #ISRO | #…"
846,RT @HerryNapit: Russia-Ukraine war: A Russian TikTok soldier standing on landmines in Ukrainian land📹🔥😱😂 #Russia #Rusia #Russian #Russie #R…
337,"Russia’s Looming Defeat in Ukraine by Simon Johnson 
サイモン・ジョンソンによるウクライナでのロシアの迫り来る敗北
#UkraineRussianWar #UkraineWar… https://t.co/MD61ZNUhZj"
836,RT @eye_southern: Armed Forces of #Ukraine official numbers of killed &amp; wounded is 191000 soldiers which #Zelensky does not reveal to his p…
600,RT @GlasnostGone: Russia created a global food crisis - now it's creating a radiation crisis. Operator of #Zaporizhzhia nuclear power plant…
885,I read there was #Conscription. There should be a #PulizterPrizeWinning story about that. Most of the missing… https://t.co/69duq3tFvw
224,"😀

Roger Waters schools a #CNN ""journalist"" on #Ukraine &amp; #Taiwan. https://t.co/44HvPM8V0h"
448,RT @Louisalesandrin: Hier matin à #Marseille atteinte à la #liberté d'expression lors du rassemblement de soutien à l’#Ukraine devant la ma…
418,"RT @LetItShine69: 🔥Ianina Sokolova, présentatrice de TV ukrainienne : ""Nous ne gagnerons que lorsque nous les aurons tués au maximum, les a…"
314,RT @Russ_Warrior: Most of the fact-checking organizations Facebook has partnered with to monitor and regulate information about #Ukraine ar…
467,"Situation 'Grave' say International Atomic Energy Agency, who have never ever considered the key risk of military a… https://t.co/SXdo3ZAppM"
795,"RT @sharepaliyumusa: This is not #Ukraine! This is #Gaza Strip an hour ago!

#GazaUnderAttackk https://t.co/omvuAA7SIE"
143,RT @GlasnostGone: If only tears stopped wars. #Ukraine https://t.co/gUJn00EeZw
223,"RT @AnarchoTerran: I had been on a bus Friday in #Cagliari, #Sardinia wearing my ""Ukraine"" hat. A woman was staring at me with daggers in h…"
576,"RT @_DeGabriak: Слушайте, заканчивайте сравнивать Израиль и Россию, я вот что-то не припомню, чтобы Палестина бегала и орала ""еврея на гиля…"
272,#Russia's nuclear terror requires a more decisive response - #Zelenskyi told Michel about the situation at the ZNPP… https://t.co/IT2pHOntml
509,"Τα εγκλήματα στην Ουκρανία συσσωρεύονται
Αλτσέφσκ, Λαϊκή Δημοκρατία του Λουχάνσκ, πολιτικά κτίρια που βομβαρδίζοντα… https://t.co/oHVfShYYny"
233,@marcgarlasco @DarthPutinKGB @amnesty 3/ Russia has said many times it is NOT targeting civilian areas.  By accusin… https://t.co/Mcy7NcuhK6
841,RT @EWil92376489: #Russia gathers allies... The hunt for #American MLRS #HIMARS in #Ukraine may soon be conducted by 46 #Iranian Shahed-129…
285,"RT @ReadovkaWorld: ""Don’t forget 23 million #Russians died, protecting you and me from the Nazis"", Roger Waters in @CNN interview 
 
Co-fou…"
532,"🔥Ianina Sokolova, présentatrice de TV ukrainienne : ""Nous ne gagnerons que lorsque nous les aurons tués au maximum,… https://t.co/D9bGyyjhYh"
777,"RT @petras_petras: Russian aggressions against its neighbours became part of putin’s policy. #Georgia 2008, #Ukraine 2014 and 2022. The civ…"
34,"RT @ContreAttaque_: #UKRAINE : LA PLUS GRANDE CENTRALE NUCLÉAIRE D'EUROPE ENCORE TOUCHÉE PAR DES TIRS

– «L'humanité n'est qu'à une erreur…"
254,"Thread on #Ukraine. The coming counter-offensive against Russia's occupying forces is going to be stunning, and hop… https://t.co/wSEjEJxEu7"
561,RT @KlausStimeder: Saturday afternoons in #Odesa in summer 2022: Patriotic electronic   beats with the sounds of a sax and a flute thrown i…
141,"RT @OccupySchagen: #WION:
#Russia accuses #US of '#Direct #Involvement'
in #Ukraine war ‼️
Moscow has now accused the United States of havi…"
16,"RT @mimimatic: @FLASHGO24077051 @dupond007 @mormach Lisez plutôt mes tweets,ça m’évitera d’étaler ma science
Vous êtes tellement condescend…"
131,"World focused on Palestine 🇵🇸, and in the mean time Russians have decimated the HIMARS supplied by USA,,,, heavy ca… https://t.co/iIsjyyMrSY"
751,"7/8
🇷🇺🔥
short tik-tok, an orc of Caucasian nationality beat his madam, she forgave him, and he took it and disposed… https://t.co/EjXHZJuA9J"
727,"RT @owarino_outsuke: 🇺🇦Ukrainian soldiers show their burning vehicles

He just wispers something like ""F**ing great"" using the Russian swea…"
319,How ironic. The man who cowrote The Wall. #PinkFloyd #Ukraine #UkraineRussianWar https://t.co/vTHOPZ3OUc
318,"The Russian reality is, they'll have been paid a few extra rubles to make this pitiful propaganda video. Then they'… https://t.co/jbH7MFw171"
12,"RT @UAWeapons: #Ukraine: Ukrainian forces rebuffed an attempted Russian probe in the East in recent days, with a BMP/MT-LB armoured vehicle…"
514,"The children of Gaza, their hair is not blond, and their eyes are not blue. #Ukraine"
404,RT @maria_drutska: 4/4 Special Operations Forces unit of the National Guard of #Ukraine describe how they use Night Vision Devices for crit…
90,RT @PaulGARDE19: @RoyalSegolene On pourrait la nommer ambassadrice en #Ukraine. Elle y ferait autant de boulot qu'aux pôles   mais pas sûr…
96,"RT @BHL: The #Amnesty report on #Ukraine is not only despicable (as if we'd, in 1944, accused the Resistance of fighting in Paris) but also…"
320,"#Sweden to train #Ukrainian soldiers in the #UK. ""The purpose is to help #Ukraine maintain and strengthen its defen… https://t.co/OIGWRdBxC3"
525,"Day 164. Yes, extraordinary act of barbarity have been tolerated this long by so many of the worlds’s countries, fo… https://t.co/Hur6r7MStF"
187,"RT @WarintheFuture: In military operations, we often speak about ‘seizing the initiative’. It is a term used in doctrinal publications, and…"
939,"@CPIUSA The theme of this pro-#Putin, anti-#Ukraine “socialist” gathering is “Unite against the imperialists”.… https://t.co/0NZ8sk9ATc"
565,RT @Sterling_OSEP: “With the relentless anti-Russian war propaganda world public opinion is to be prepared for a far bigger war that threat…
205,"Οι κάτοικοι της Ποπάσναγια περιέγραψαν τη στάση των Ουκρανών στρατιωτών απέναντι στον άμαχο πληθυσμό:
Απείλησαν του… https://t.co/5D1uXvD5V3"
323,"We have replenished strategic stocks for continuous operation!
We purchased surgical instruments from company… https://t.co/Jc2FDtaeaN"
310,"The World Must Condemn Human Rights Abuses in #Tigray as It Does in #Ukraine.
#EndTigraySiege 
No bank 
No communic… https://t.co/1PA8ciOwrS"
601,"Russian soldier captured by Ukrainian forces 👊
#Russian #Rusia #Ukraine #ukraina #UkraineWar  #UkraineRussiaWar https://t.co/K5Zuq12d2e"
33,RT @tincazzi: Long thread 🧵on the Amnesty International issue and its controversial report on #Ukraine (English version) In June I was in #…
78,RT @Limportant_fr: 84% des Ukrainiens sont contre la paix avec la Russie si elle implique des concessions territoriales https://t.co/cmje4b…
700,"RT @TV9Bharatvarsh: अयोध्या में जमीन घोटाले से जुड़ी बड़ी खबर
#WorldNews | #NitishKumar | #Bihar | #Bangladesh | #Sports |  #CWG2022 | #ISR…"
589,"#OOTT #WTI
War in the #Taiwan Strait has a much more severe impact on the world economy. Taiwan is the 21st largest… https://t.co/h8LlrsbabY"
230,"RT @GeromanAT: #Ukraine SE Ugledar (Vuhledar Pavlivka axis)
RF / Allies resumed their offensive operations there - I'm not sure if that is…"
368,RT @romanovich0512: #photography #art #Twitter #Nowar #sky #streetart #architecture #beauty #citylife #Europe #naturallandscape #life #trav…
44,"RT @Ukraine66251776: North Korea wants to test its attack drones in #Ukraine - have offered 100000 troops and equipment to Russia 
#Ukraine…"
35,RT @TetyanaWrites: My friend @daryazorka pointed out that very shortly after Ukrainians got shade for the #vogue cover with #OlenaZelenska…
122,"RT @dpatrikarakos: In today's @DailyMailUK  I go inside occupied Kherson. This is what #Russia 🇷🇺 does in all the places it occupies. 

Nev…"
428,L’Ukraine célèbre ses fermiers remorqueurs de chars russes avec un timbre #Ukraine #russie https://t.co/A7igEVGIcv
63,"RT @DriurHCSchueler: #Ukraine will win the war.

#Putin will lose his dictatorship. 

https://t.co/z5seguY3dy"
609,"@MahQaddoha #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
9,RT @Ukraine66251776: Zelensky sold 17 Million hectares of agricultural land in  #Ukraine to Dupont Cargill and Monsanto with large share ho…
457,"RT @philippepoustis: #UkraineRussiaWar 165ème jour d'une invasion russe en #Ukraine qui n'en finit pas 💔 

💙💛 #StandWithUkraine 🇺🇦 https://…"
57,RT @nexta_tv: The bloodiest #Russian terrorist attacks in #Ukraine according to UA War Infographics. https://t.co/Dh2RJAFYQD
5,RT @SamarDJarrah: Go back to sleep. This is #Gaza not #Ukraine https://t.co/SpIOuA8tFb
603,"@PalmerReport #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
882,"RT @GeromanAT: #Ukraine  #Avdiivka 
Current Situation
RF / Allies try to cut off the supply lines in the north by attacking Krasnohorivka -…"
237,"RT @BHL: Mon ami ⁦@dpatrikarakos⁩ a publié, dans ⁦@unherd⁩ et ⁦@spectator,⁩ quelques uns des meilleurs reportages sur la guerre en #Ukraine…"
120,RT @BlueYellowUKR: The @CBSNews report was filmed 8 weeks into the war. Things have changed. ANY info to be misused by certain entities in…
994,RT @nexta_tv: #Russian losses according to the General Staff of the Armed Forces of #Ukraine. https://t.co/BvRP9ieM74
887,"RT @GeromanAT: #Ukraine - #Bakhmut 

https://t.co/6f9VGfApDU"
880,"RT @kleensamsonite: #TrumpWorld 

SCOOP......!!!

La #France est à court de canons automoteurs Caesar à cause de l'#Ukraine.

 #Paris a liv…"
386,"RT @mil_in_ua: 🇺🇦Десантники показали використання британських гаубиць L119

Бійці десантно-штурмових військ активно використовують західне…"
132,@iaeaorg @rafaelmgrossi @UN @antonioguterres #Ukraine has been calling for the close attention of international com… https://t.co/pYHgJEoCLM
632,"RT @Sylvia08905705: @dpatrikarakos @DailyMailUK Never forget. Never turn your back on #Ukraine 🇺🇦.
@RobertaMetsola @ManfredWeber @othmar_ka…"
