,Tweets
341,Look up these names! All the important #Nazis after WW2 were adopted by the US and then continued their hatred and… https://t.co/JpN064ZVEP
113,"Очередной военнопленный, взятый нашими ребятами. 

И очередное подтверждение того, что поставленным западным вооруж… https://t.co/NIeu5RjnH5"
594,RT @HannaLiubakova: #Belarus People are supporting #Ukraine right in the Minsk city centre. This was a concert near the bar on the famous Z…
45,"#Russian from #Buch #Ukraine finds out truth...

Risks being sentenced with up to ""10 years"" in jail under #Putin's… https://t.co/d0cHmznzKM"
363,"RT @chris__759: Heavy explosion of a #Russian tank in eastern #Ukraine.
This happened between the villages Brazhkivka and Sulyhivka, 20km s…"
300,"Long fil 🧵 sur la question #Amnesty International et son rapport controversé sur #Ukraine. 
« […] un rapport sans c… https://t.co/SZxZqh46FV"
4,RT @UAWeapons: #Ukraine: A very rare Russian BMO-T T-72-based APC was destroyed by Ukrainian forces. This is the second one to be lost in U…
908,"Content analysis:
This article scores 68/100. The complete report can be viewed here: https://t.co/4WRnMNhw5A
(I'm… https://t.co/qiEAUfV04n"
696,"Collection - Chornobryvtsi Karmen🐶🌱
Day 25🗓️
0.39 #SOL 

https://t.co/eosdagVEDb

#NFT #NFTs #NFTartist… https://t.co/ryGrwnjK3S"
979,RT @teframendos: @NikaMelkozerova #Amnesty is well known to me. What they do is money laundering like BDS by aid to terror &amp; anarchists gro…
716,RT @WaliKhan_TK: #Palestinian children going trough such horror and trauma every night but international organization and Human Rights watc…
155,"RT @PatriotsDZ: We live in a world of bastards! The ""free"" world spoke out against the war in #Ukraine, but when it comes to war crimes com…"
999,"RT @MrjDuclos: Au total, références obligées au président @EmmanuelMacron et défense des actions de la #France (aide à l’#Ukraine) mais aus…"
352,"RT @D2055de: #Ukraine geht militärisch angeschlagen, aber politisch siegreich aus dem russischen Überfall hervor!
#SlavaUkraini 🇺🇦 https://…"
759,"Eurovision 2023 - Malta
https://t.co/wmIvWSs6gh
#Eurovision2023 #EBU #ESC #Eurovision #EurovisionNews #England… https://t.co/Vb198Tjr7x"
531,RT @howdoyoudohoney: #russia continues its #nuclear #terrorism. The world must understand that the #russians will stop at nothing if they a…
11,"Kolejny transport #radzieckich czołgów na #Ukrainę z #Rosji. ""Druga Armia Światowa"" wyskrobała resztki #sowieckiego… https://t.co/8fNr5DE7fe"
190,RT @friendofrussia: @BBCWorld Russian? You mean #Ukraine strike...
241,RT @OlgaK2013: Anastasia Tereshyna is one of 82 women medics of the military hospital #555 in #Mariupol taken prisoners by the Russian forc…
2,"RT @MarkRid89403375: ⚡️Zelensky staffer urges German chancellor to supply more modern weapons. 

Mykhailo Podolyak, an adviser to Zelensky'…"
813,@colonelhomsi Utter bullshit! #stoprussia #ukraine https://t.co/LWeDfALJiO
458,"RT @eslemanabayy: dear #Africans
Most African countries are getting #wheat and #maize from war-torn #Ukraine yet we have large swathes of a…"
326,RT @MFAestonia: @Amnesty’s report on Russia’s war in #Ukraine is grossly misguided. Claiming that 🇺🇦 forces are endangering civilians &amp; vio…
659,RT @heiditheblogger: Wir sehen das komplette Regierungsversagen. Der Staat hat sich über die letzten 2 Jahre selbst delegitimiert. Will der…
595,"RT @awwikanadi: Day 41.
April 06.  12:48 AM (local time)
The atrocities of the Azov Neo-NAZI army, have been committed SINCE 2014, but are…"
909,"RT @Chronikfr: - Du tri des réfugiés en fonction de leur origine à la condamnation des bombardements des civils, un même discours universal…"
68,RT @elieguckert: #Ukraine : Une vidéo tournée fin juillet montre une tête - probablement celle d'un soldat ukrainien - plantée sur une piqu…
435,Das russische Militär setzt seine Offensive im Osten der #Ukraine mit unverminderter Härte fort. https://t.co/5ZSvLgM4pu
31,RT @UAWeapons: #Ukraine: The Ukrainian 80th Air Assault Brigade destroyed another Russian armoured vehicle (Claimed to be a BMP IFV) which…
489,"RT @UkraineNewsLive: 🇺🇦💥Gifts from the Armed Forces

 6-8 ammo manual PTG
#Ukraine #UkraineWar #UkrainianArmy #UkraineRussiaWar #UkraineWil…"
40,"RT @olex_scherba: Hey @amnesty, don’t play the “Both sides” game on #Ukraine. There is no “both sides” in murder, rape, torture. Ukraine de…"
15,"#UkraineRussianWare #PS5Share #Ukraine 

ウクライナ特殊部隊治安当局町巡回 https://t.co/x09FiCDGcQ"
766,Die Zeitschrift Kulturrevolution und das DISS-Journal möchten mit einem gemeinsamen Sonderheft auf die (Kriegs-)Gef… https://t.co/O8vzs7TAKV
849,#Ukraine  #غزة_تحت_القصف https://t.co/FL84K39vPD
537,Communist @Russia Military is suffering 😁 #Ukraine Airforce is 😎💪❤️ The World is against #Russia 😎 - Guilty of Crim… https://t.co/vh3zaM0gjl
249,RT @Saraswa59879062: Blüht uns das auch demnächst?#Volksenteignung #GreatReset #Ukraine #truthbook https://t.co/ue0lavSUf2
69,RT @aileastick1: 👇🧐La vidéo originale me paraissait un peu trop rapide alors je l'ai rallongé un peu. #France #medias #France #Mckinsey #Mc…
644,"RT @UA_22_Ukraine: Chers #amnestyfinland
seuls la🇷🇺 &amp; les proPoutine appellent la guerre en #Ukraine 2014-2022 une guerre civile. C’est tou…"
8,"RT @UAWeapons: #Ukraine: A Ukrainian soldier firing a captured modern Russian RPO PDM-A ""Shmel-M"" rocket-assisted flamethrower at Russian p…"
861,"RT @UAWeapons: #Ukraine: A drone of the 71st Jaeger Brigade dropping an improvised EFP munition on a Russian BMP-3 IFV.

The BMP-3 can be s…"
206,Одесская жизнь → Наводили ракеты и артиллерию на одесских резервистов: задержаны агенты фсб https://t.co/giXwv2cOgV… https://t.co/o3qJ379TxG
637,"Столтенберг прямо говорит: 

«Я настаиваю, НАТО настаивает, решительно для большей поддержки нужен постоянный поток… https://t.co/hxdhsJ9Dhz"
642,"RT @pransukh37: @WarMonitor3 @Janaczka Glory to the heroes 🙏
Glory to #Ukraine 😊🇺🇦"
890,"RT @GeromanAT: #Ukraine #Pisky 

https://t.co/WN1uL6yMqd"
439,RT @LithuaniaMFA: 🇱🇹stands in firm support of 🇬🇪 territorial integrity and sovereignty. 14y ago #Russia invaded #Georgia. The aggression sh…
643,RT @CIJ_ICJ: PRESS RELEASE: the #UnitedKingdom files a declaration of intervention under Article 63 of the #ICJ Statute in the case concern…
874,"RT @claudarnaud: ""Les Ukrainiens ne sont pas des anges...""
 #Amnesty International dénonce l'utilisation par les forces Ukrainiennes d'hôpi…"
490,RT @PhilALynch: An excellent thread on the controversial and problematic @amnesty report on #Ukraine.
796,"🇺🇦Десантники показали використання британських гаубиць L119

Бійці десантно-штурмових військ активно використовують… https://t.co/MaoIykwFdC"
149,"#odessa #odesa #ukraine #одесса
Now: 33.8°C
Today's Min: 23.5°C at 04:53:35
Today's Max: 33.8°C at 14:46:05
Month's… https://t.co/EUW15MzhRM"
214,#Mecklenburg-Vorpommern hat seine Anfang April eingerichtete zentrale #Erfassungsstelle für #Flüchtlinge aus der… https://t.co/m52RB4Yb6T
23,RT @UkieLenia: Claims of new Russian atrocity after gruesome image appears to show the head of a Ukrainian POW stuck on pole.    #Ukraine h…
421,Dobroj rano! Here's another amazing video supporting #Ukraine and #Ukrainian #literature from @KirkLawrence. This o… https://t.co/t32oHLeyve
698,RT @nexta_tv: The occupiers in #Ukraine are in danger everywhere. https://t.co/fk4idX37eX
798,"RT @GlasnostGone: UN's nuclear watchdog called for immediate end to military action near #Ukraine's #Zaporizhzhia nuclear plant, warning of…"
82,"Article Link: https://t.co/nxWkGlJexs 
Counterintelligence officers show how they kill Russian soldiers with drones… https://t.co/MOYAkmmiBd"
276,"A Russian give #Ukraine supporters advise, there no end to #Russian arrogance and ignorance https://t.co/u0NDvDV1h6"
550,https://t.co/gGPVb3K8SH  #ukraine  #turkish  #ukrainian  #officials  #ریتوییت پردازنده برنامه نویسی
109,"RT @dieterschnaas: Es ist inzwischen restlos klar, dass #China sich mit allen Mitteln über den Mehrheitswillen der Menschen in #Taiwan hinw…"
784,RT @Tania_Bln: @DM1111111111 @apmassaro3 Tell us more about capturing #Ukraine within 3 days 🤣
886,"RT @GeromanAT: #Ukraine  #Avdiivka 

https://t.co/X9JTZQnn10"
622,"@AJArabic #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
