,Tweets
684,"「戦火の放送局〜ウクライナ 記者たちの闘い〜」
8月7日(日)午後9:00　
https://t.co/fVlsytrA6Z
#UkraineRussianWar #UkraineWar
#Ukraine #Ukrainian https://t.co/NuVN1K5gEQ"
898,RT @MilaDiamond: More 🇷🇺 Officer-orcs bite the dust. #russianlosses #russiansolders #russianmothers #grandmothers #wives - where are your…
210,RT @WelshAcadPress: In 1933 #GarethJones was the 1st journalist to expose Moscow's genocidal #Holodomor famine in #Ukraine - Stalin banned…
287,"RT @Lloyd_cymru: Yesterday 3 more ships full of grain left Ukrainian port, they'll pass through the Bosphorus #Istanbul soon. #Ukraine offe…"
939,"@CPIUSA The theme of this pro-#Putin, anti-#Ukraine “socialist” gathering is “Unite against the imperialists”.… https://t.co/0NZ8sk9ATc"
813,@colonelhomsi Utter bullshit! #stoprussia #ukraine https://t.co/LWeDfALJiO
197,RT @theSCAPAS: “There are folks that talk about what needs to happen—and then there are folks like Enrique &amp; the Vector team that do it. Ou…
766,Die Zeitschrift Kulturrevolution und das DISS-Journal möchten mit einem gemeinsamen Sonderheft auf die (Kriegs-)Gef… https://t.co/O8vzs7TAKV
268,"RT @HackingButLegal: This, out of #Ukraine, is 100% one of the most incredible videos I have ever seen.

This Russian POW has the heart of…"
841,RT @EWil92376489: #Russia gathers allies... The hunt for #American MLRS #HIMARS in #Ukraine may soon be conducted by 46 #Iranian Shahed-129…
117,RT @OlgaK2013: #Ukraine's daily horrors: A body of a person killed during the Russian occupation found in a technical well in #Berezivka ne…
452,"RT @JohnBasham: REPORT: #Ukraine's @ZelenskyyUa Accuses @amnesty International Of Cozying Up To #Russia &amp; #Putin
https://t.co/hsWIkDcRTN"
21,"Ο επικεφαλής της CIA λέει ότι ο Πούτιν είναι «πολύ υγιής». Τι πραγματικά γνωρίζουμε για την κατάστασή του;

Πηγή:… https://t.co/J4x1FkjYTt"
